0,1
"['as', 'i', 'already', 'explain', 'during', 'second', 'reading', ',', 'there', 'be', 'a', 'crisis', 'underlie', 'this', 'directive', 'amendment']","['as', 'i', 'l', 'have', 'already', 'explain', 'in', 'second', 'reading', ',', 'a', 'crisis', 'be', 'at', 'the', 'root', 'of', 'this', 'modification', 'of', 'directive']"
"['van', 'orden', 'report', 'a5', '0241', '2000']","['van', 'orden', 'report', 'a5', '0241', '2000']"
"['then', 'perhaps', 'we', 'could', 'have', 'avoid', 'a', 'catastrophe']","['we', 'would', 'perhaps', 'then', 'able', 'prevent', 'a', 'disaster']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'our', 'duty', 'to', 'continue', 'to', 'support', 'latvia', 'on', 'the', 'issue', 'of', 'the', 'integration', 'of', 'the', 'russian', 'population']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['parliament', 'adopt', 'the', 'legislative', 'resolution']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'want', 'to', 'take', 'the', 'protection', 'of', 'worker']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'our', 'duty', 'to', 'continue', 'support', 'latvia', 'on', 'the', 'question', 'of', 'the', 'russian', 'population']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'be', 'part', 'of', 'members', 'who', 'be', 'not', 'properly', 'present']"
"['maij', 'weggen', 'report', 'a5', '0323', '2000']","['maij', 'weggen', 'report', 'a5', '0323', '2000']"
"['let', 'me', 'remind', 'you', 'that', 'our', 'ally', 'include', 'fervent', 'supporter', 'of', 'this', 'tax']","['i', 'would', 'like', 'to', 'remind', 'you', 'that', 'our', 'ally', ',', 'there', 'be', 'ardent', 'supporter', 'of', 'this', 'tax']"
"['unanimous', 'decision', ',', 'and', 'hence', 'an', 'inherent', 'incapacity', 'to', 'act', ',', 'remain', 'largely', 'the', 'norm', 'in', 'the', 'council']","['we', 'preserve', 'unanimity', 'in', 'the', 'council', 'and', 'thus', 'a', 'latent', 'incapacity', 'to', 'act']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['this', 'have', 'the', 'effect', 'of', 'increase', 'the', 'power', 'of', 'the', 'large', 'country', 'at', 'the', 'expense', 'of', 'small']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['this', 'have', 'the', 'effect', 'of', 'increase', 'the', 'power', 'of', 'the', 'large', 'country', 'at', 'the', 'expense', 'of', 'small']"
"['van', 'orden', 'report', 'a5', '0241', '2000']","['van', 'orden', 'report', 'in', 'particular', 'a5', '0241', '2000']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'of', 'our', 'duty', 'to', 'continue', 'support', 'the', 'latvia', 'on', 'the', 'question', 'of', 'the', 'incorporation', 'of', 'the', 'russian', 'population']"
"['van', 'orden', 'report', 'a5', '0241', '2000']","['mr', 'van', 'orden', 'report', 'a5', '0241', '2000']"
"['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarise', 'in', 'four', 'word', 'citizen', 'power', 'over', 'bureaucracy']","['mr', 'president', ',', 'the', 'cashman', 'report', 'ratio', 'can', 'summarize', 'himself', 'in', 'a', 'few', 'word', 'capacity', 'of', 'the', 'citizen', 'on', 'the', 'bureaucracy']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', '7', 'proposes', 'certain', 'modification', 'in', 'the', 'reference', 'to', 'the', 'paragraph']"
"['consumers', 'will', 'lose', 'out', ',', 'employee', 'will', 'lose', 'out', ',', 'europe', 'will', 'lose', 'competitive', 'strength', 'and', 'growth']","['the', 'user', 'be', 'the', 'loser', ',', 'employee', ',', 'and', 'european', 'competitiveness', 'and', 'growth', 'r', 'gresseront']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'our', 'duty', 'to', 'continue', 'to', 'support', 'the', 'latvia', 'on', 'the', 'question', 'of', 'the', 'integration', 'of', 'the', 'russian', 'population']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['parliament', 'adopt', 'the', 'legislative', 'resolution']"
"['that', 'provision', 'could', 'open', 'the', 'door', 'wide', 'to', 'arbitrariness']","['this', 'regulation', 'point', 'open', 'the', 'door', 'to', 'the', 'arbitrary', 'one']"
['tunisia'],['tunisia']
"['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']","['fishermen', 'be', 'inactive', ',', 'tired', 'and', 'disappointment']"
"['the', 'european', 'union', 'have', 'get', 'to', 'do', 'something', 'and', 'do', 'it', 'quickly']","['it', 'be', 'that', 'the', 'european', 'union', 'be', 'involve', 'and', 'that', 'it', 'do', 'so', 'quickly']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'be', 'part', 'of', 'members', 'who', 'be', 'not', 'properly', 'present']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['has', 'the', 'effect', 'of', 'increase', 'the', 'power', 'of', 'the', 'large', 'at', 'the', 'expense', 'of', 'small', 'country']"
"['the', 'standard', 'be', 'scarcely', 'comparable', ',', 'let', 'alone', 'transferable']","['the', 'standard', 'be', 'hardly', 'comparable', 'and', 'even', 'less', 'transferable']"
"['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']","['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']"
"['the', 'standard', 'be', 'scarcely', 'comparable', ',', 'let', 'alone', 'transferable']","['the', 'standard', 'be', 'hardly', 'comparable', 'and', 'still', 'less', 'transferable']"
['tunisia'],['tunisia']
"['maij', 'weggen', 'report', 'a5', '0323', '2000']","['maij', 'weggen', 'report', 'a5', '0323', '2000']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'no', 'qualified', 'majority', 'in', 'this', 'parliament', 'to', 'go', 'back', 'to', 'article', '272']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['the', 'amendment', '7', 'propose', 'some', 'change', 'in', 'the', 'reference', 'to', 'the', 'paragraph']"
"['parliament', 'adopt', 'the', 'legislative', 'resolution']","['parliament', 'adopt', 'the', 'legislative', 'resolution']"
"['van', 'orden', 'report', 'a5', '0241', '2000']","['report', 'van', 'orden', 'a5', '0241', '2000']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'would', 'like', 'to', 'make', 'the', 'defence', 'of', 'worker', 'in', 'this', 'sector']"
"['that', 'provision', 'could', 'open', 'the', 'door', 'wide', 'to', 'arbitrariness']","['this', 'point', 'of', 'the', 'payment', 'open', 'the', 'door', 'with', 'the', 'arbitrary', 'one']"
"['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarise', 'in', 'four', 'word', 'citizen', 'power', 'over', 'bureaucracy']","['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'sum', 'up', 'in', 'a', 'few', 'word', 'the', 'power', 'of', 'citizen', 'on', 'the', 'bureaucracy']"
"['consumers', 'will', 'lose', 'out', ',', 'employee', 'will', 'lose', 'out', ',', 'europe', 'will', 'lose', 'competitive', 'strength', 'and', 'growth']","['the', 'user', 'will', 'be', 'the', 'loser', ',', 'with', 'the', 'employee', ',', 'and', 'european', 'competitiveness', 'and', 'growth', 'will', 'regress']"
"['it', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country']","['this', 'have', 'the', 'effect', 'of', 'increase', 'the', 'power', 'of', 'large', 'country', 'at', 'the', 'expense', 'of', 'small']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'no', 'qualified', 'majority', 'in', 'this', 'parliament', 'to', 'go', 'back', 'to', 'article', '272']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'be', 'one', 'of', 'those', 'members', 'who', 'be', 'rather', 'honourably', 'here']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'our', 'duty', 'to', 'continue', 'to', 'support', 'latvia', 'on', 'the', 'issue', 'of', 'the', 'integration', 'of', 'the', 'russian', 'population']"
"['the', 'leader', 'have', 'now', 'be', 'give', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it']","['the', 'leader', 'have', 'today', 'of', 'a', 'new', 'opportunity', 'and', 'let', 'them', 'therefore', 'seize']"
"['selective', 'aid', ',', 'such', 'as', 'market', 'support', 'and', 'a', 'grass', 'subsidy', ',', 'be', 'essential']","['specific', 'assistance', 'like', 'the', 'support', 'of', 'the', 'market', 'or', 'the', 'premium', 'with', 'grass', 'be', 'essential']"
"['i', 'be', 'one', 'of', 'those', 'members', 'who', 'attend', 'sitting', 'quite', 'faithfully']","['i', 'be', 'one', 'of', 'the', 'members', 'of', 'parliament', 'who', 'be', 'rather', 'present']"
"['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']","['the', 'fisherman', 'be', 'inactive', ',', 'tired', 'and', 'disappointed']"
"['there', 'must', 'be', 'a', 'balance', 'as', 'a', 'whole']","['the', 'whole', 'must', 'be', 'in', 'balance']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'would', 'like', 'to', 'take', 'the', 'defence', 'of', 'worker', 'in', 'this', 'sector']"
"['then', 'perhaps', 'we', 'could', 'have', 'avoid', 'a', 'catastrophe']","['perhaps', 'we', 'would', 'then', 'have', 'to', 'avoid', 'a', 'disaster']"
"['the', 'european', 'union', 'have', 'get', 'to', 'do', 'something', 'and', 'do', 'it', 'quickly']","['it', 'suit', 'that', 'the', 'european', 'union', 'imply', 'itself', 'and', 'that', 'she', 'do', 'it', 'quickly']"
['tunisia'],['tunisia']
"['there', 'must', 'be', 'a', 'balance', 'as', 'a', 'whole']","['the', 'whole', 'must', 'be', 'in', 'balance']"
"['selective', 'aid', ',', 'such', 'as', 'market', 'support', 'and', 'a', 'grass', 'subsidy', ',', 'be', 'essential']","['the', 'occasional', 'aid', 'as', 'the', 'support', 'of', 'the', 'market', 'or', 'the', 'premium', 'to', 'grass', 'be', 'essential']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'would', 'like', 'to', 'defend', 'worker', 'in', 'the', 'sector']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'at', '5', '30', 'p', 'm']"
['tunisia'],['tunisia']
"['that', 'provision', 'could', 'open', 'the', 'door', 'wide', 'to', 'arbitrariness']","['this', 'point', 'of', 'the', 'regulation', 'open', 'the', 'door', 'to', 'arbitrariness']"
"['as', 'i', 'already', 'explain', 'during', 'second', 'reading', ',', 'there', 'be', 'a', 'crisis', 'underlie', 'this', 'directive', 'amendment']","['as', 'i', 'already', 'explain', 'in', 'second', 'reading', ',', 'a', 'crisis', 'be', 'at', 'the', 'base', 'of', 'this', 'modification', 'of', 'directive']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'commissioner']"
"['the', 'european', 'union', 'have', 'get', 'to', 'do', 'something', 'and', 'do', 'it', 'quickly']","['it', 'be', 'right', 'that', 'the', 'european', 'union', 'be', 'involve', ',', 'and', 'for', 'this', 'to', 'be', 'do', 'quickly']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'at', '5', '30', 'p', 'm']"
"['unanimous', 'decision', ',', 'and', 'hence', 'an', 'inherent', 'incapacity', 'to', 'act', ',', 'remain', 'largely', 'the', 'norm', 'in', 'the', 'council']","['we', 'maintain', 'the', 'unanimity', 'in', 'the', 'council', 'and', 'therefore', 'a', 'latent', 'capacity', 'to', 'act']"
"['as', 'i', 'already', 'explain', 'during', 'second', 'reading', ',', 'there', 'be', 'a', 'crisis', 'underlie', 'this', 'directive', 'amendment']","['as', 'i', 'have', 'already', 'explain', 'in', 'second', 'reading', ',', 'be', 'at', 'the', 'root', 'of', 'this', 'directive']"
"['mr', 'president', ',', 'i', 'rise', 'in', 'defence', 'of', 'the', 'worker', 'in', 'the', 'industry']","['mr', 'president', ',', 'i', 'hold', 'to', 'the', 'defence', 'of', 'worker', 'in', 'this', 'sector']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'our', 'duty', 'to', 'continue', 'to', 'support', 'the', 'latvia', 'on', 'the', 'issue', 'of', 'the', 'integration', 'of', 'the', 'russian', 'population']"
"['maij', 'weggen', 'report', 'a5', '0323', '2000']","['maij', 'weggen', 'report', '5', '2000']"
"['thank', 'you', ',', 'commissioner']","['thank', 'you', ',', 'mister', 'the', 'commissioner']"
"['van', 'orden', 'report', 'a5', '0241', '2000']","['van', 'orden', 'report', 'a5', '0241', '2000']"
"['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'summarise', 'in', 'four', 'word', 'citizen', 'power', 'over', 'bureaucracy']","['mr', 'president', ',', 'the', 'cashman', 'report', 'can', 'be', 'sum', 'up', 'in', 'a', 'few', 'word', 'the', 'power', 'of', 'the', 'citizen', 'on', 'bureaucracy']"
"['unfortunately', ',', 'others', 'separate', 'on', 'the', 'basis', 'of', 'accumulate', 'hatred']","['on', 'others', 'who', 'be', 'unfortunately', 'in', 'the', 'reason', 'of', 'a', 'vengeance', 'gain']"
"['as', 'i', 'already', 'explain', 'during', 'second', 'reading', ',', 'there', 'be', 'a', 'crisis', 'underlie', 'this', 'directive', 'amendment']","['as', 'i', 'have', 'already', 'explain', 'at', 'second', 'reading', ',', 'a', 'crisis', 'be', 'on', 'the', 'basis', 'of', 'this', 'amend', 'directive']"
"['the', 'standard', 'be', 'scarcely', 'comparable', ',', 'let', 'alone', 'transferable']","['the', 'standard', 'be', 'hardly', 'comparable', 'and', 'even', 'less', 'transferable']"
"['neither', 'be', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'house', 'to', 'revert', 'to', 'article', '272']","['there', 'be', 'no', 'qualified', 'majority', 'in', 'this', 'parliament', 'to', 'go', 'back', 'to', 'article', '272']"
"['it', 'be', 'our', 'job', 'to', 'continue', 'to', 'support', 'latvia', 'with', 'the', 'integration', 'of', 'the', 'russian', 'population']","['it', 'be', 'of', 'our', 'duty', 'to', 'continue', 'to', 'support', 'latvia', 'on', 'the', 'question', 'of', 'the', 'integration', 'of', 'the', 'russian', 'population']"
"['unfortunately', ',', 'others', 'separate', 'on', 'the', 'basis', 'of', 'accumulate', 'hatred']","['other', 'separate', 'unfortunately', 'because', 'of', 'a', 'grudge', 'accumulate']"
"['amendment', 'no', '7', 'propose', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph']","['amendment', '7', 'proposes', 'certain', 'modification', 'in', 'the', 'reference', 'to', 'paragraph']"
"['that', 'provision', 'could', 'open', 'the', 'door', 'wide', 'to', 'arbitrariness']","['this', 'point', 'of', 'the', 'regulation', 'open', 'the', 'door', 'to', 'the', 'arbitrary']"
"['selective', 'aid', ',', 'such', 'as', 'market', 'support', 'and', 'a', 'grass', 'subsidy', ',', 'be', 'essential']","['the', 'specific', 'aid', 'as', 'the', 'support', 'of', 'the', 'market', 'or', 'the', 'premium', 'to', 'the', 'grass', 'be', 'necessary']"
"['the', 'vote', 'will', 'take', 'place', 'today', 'at', '5', '30', 'p', 'm']","['the', 'vote', 'will', 'take', 'place', 'at', '5', '30', 'p', 'm']"
"['the', 'standard', 'be', 'scarcely', 'comparable', ',', 'let', 'alone', 'transferable']","['the', 'standard', 'be', 'hardly', 'comparable', 'and', 'even', 'less', 'transferable']"
